Time,Position,Level,Experience,Technology,Location,Way_of_working,Employees_number,Salary_type,Salary
2023-01-22 18:49:36.202,Backend Developer,Mid,1-3 Yıl,Java / Spring,Türkiye,Yerinde / Ofiste,100-300,Türk Lirası,41.000 - 45.000 TL
2023-01-22 18:49:38.280,Architect / Mimar,Tanımsız,4-6 Yıl,"React / NextJS, NodeJS, Javascript, React Native",Türkiye,Remote,2000+,Türk Lirası,51.000 - 55.000 TL
2023-01-22 18:49:41.383,Frontend Developer,Junior,1-3 Yıl,"React / NextJS, Javascript",Türkiye,Remote,100-300,Türk Lirası,16.000 - 20.000 TL
2023-01-22 18:50:19.296,Backend Developer,Mid,4-6 Yıl,Java / Spring,Türkiye,Hybrid,300-1000,Türk Lirası,41.000 - 45.000 TL
2023-01-22 18:51:13.644,Fullstack Developer,Junior,0-1 Yıl,"React / NextJS, NodeJS, Javascript",Türkiye,Yerinde / Ofiste,50-100,Türk Lirası,11.000 - 15.000 TL
2023-01-22 18:51:34.510,Architect / Mimar,Senior,10+ Yıl,"React / NextJS, Angular, Vue, NodeJS, Javascript, Java / Spring, C# / .NET Framework, React Native, Flutter, C / C++",Türkiye,Yerinde / Ofiste,2000+,Türk Lirası,51.000 - 55.000 TL
2023-01-22 18:51:59.651,Backend Developer,Junior,0-1 Yıl,"C# / .NET Framework, Python",Türkiye,Hybrid,0-10,Türk Lirası,11.000 - 15.000 TL
2023-01-22 18:52:33.282,Fullstack Developer,Junior,1-3 Yıl,"Javascript, C# / .NET Framework",Türkiye,Hybrid,2000+,Türk Lirası,21.000 - 25.000 TL
2023-01-22 18:52:51.267,Fullstack Developer,Junior,0-1 Yıl,C# / .NET Framework,Türkiye,Remote,50-100,Türk Lirası,5000 - 10.000 TL
2023-01-22 18:52:55.003,Mobile Developer,Mid,4-6 Yıl,Flutter,Türkiye,Hybrid,1000-2000,Türk Lirası,31.000 - 35.000 TL
2023-01-22 18:53:26.878,Frontend Developer,Junior,1-3 Yıl,"React / NextJS, Javascript",Türkiye,Remote,300-1000,Türk Lirası,21.000 - 25.000 TL
2023-01-22 18:53:38.874,Yönetici / Müdür,Senior,10+ Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,10-30,Türk Lirası,56.000 - 60.000 TL
2023-01-22 18:53:39.259,Fullstack Developer,Junior,0-1 Yıl,C# / .NET Framework,Türkiye,Remote,300-1000,Türk Lirası,11.000 - 15.000 TL
2023-01-22 18:53:40.270,Embedded software dev,Mid,1-3 Yıl,C / C++,Türkiye,Hybrid,100-300,Türk Lirası,31.000 - 35.000 TL
2023-01-22 18:53:44.412,Backend Developer,Mid,1-3 Yıl,C# / .NET Framework,Türkiye,Remote,100-300,Türk Lirası,21.000 - 25.000 TL
2023-01-22 18:54:06.064,Backend Developer,Senior,7-9 Yıl,Java / Spring,Yurtdışı,Remote,50-100,Dolar,91.000 - 100.000 TL
2023-01-22 18:54:53.238,Mobile Developer,Senior,4-6 Yıl,Swift,Türkiye,Remote,50-100,Dolar,41.000 - 45.000 TL
